Transaction Name,Transaction Name URL,Acquired Organization Name,Acquired Organization Name URL,Acquiring Organization Name,Acquiring Organization Name URL,Announced Date,Announced Date Precision
21st Century Fox acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-21st-century-fox--e57ad957,21st Century Fox,https://www.crunchbase.com/organization/21st-century-fox,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2017-12-14,day
BAMTECH Media acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-bamtech--295acd77,BAMTECH Media,https://www.crunchbase.com/organization/bamtech,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2017-08-08,day
MakieLab acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-makielab--c8e28b12,MakieLab,https://www.crunchbase.com/organization/makielab,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2017-02-22,day
Maker Studios acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-maker-studios--62fb2920,Maker Studios,https://www.crunchbase.com/organization/maker-studios,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2014-03-24,day
Lucasfilm acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-lucasfilm--14de7417,Lucasfilm,https://www.crunchbase.com/organization/lucasfilm,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2012-10-30,day
UTV Software Communications acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-utv-software-communications--eed19c2a,UTV Software Communications,https://www.crunchbase.com/organization/utv-software-communications,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2012-02-01,day
Babble acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-babble--3ab90e9e,Babble,https://www.crunchbase.com/organization/babble,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2011-11-14,day
Rocket Pack acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-rocket-pack--7fb46119,Rocket Pack,https://www.crunchbase.com/organization/rocket-pack,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2011-03-03,day
Playdom acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-playdom--a8531cc9,Playdom,https://www.crunchbase.com/organization/playdom,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2010-07-27,day
Tapulous acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-tapulous--c0605c03,Tapulous,https://www.crunchbase.com/organization/tapulous,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2010-07-01,day
